<page title>,adjustable display angle,aspect ratio,backlight technology,brand name,brightness,builtin devices,color,contrast ratio,depth,depth with stand,dvi,features,green compliance certificateauthority,green compliant,hdcp supported,height,height with stand,horizontal viewing angle,input voltage,limited warranty,manufacturer,manufacturer part number,manufacturer website address,maximum resolution,number of screens,operating power consumption,package contents,pccanadacom,product line,product model,product name,product type,response time,screen mode,screen size,screen surface,speakers,standby power consumption,vertical viewing angle,vga,weight approximate,width,width with stand,color supported,country of origin,displayport,hdmi,mount type,number of speakers,panel technology,platform supported,product series,tilt angle,vesa mount compatible,vesa mount standard,adjustable display height,adjustable display pivot,offmode power consumption,standard refresh rate,weight with stand approximate,certifications standards,display orientation,maximum adjustable height,swivel angle,usb,usb standard,webcam,headphone,full product specifications,recycled,recycled content,svideo
C9E49A8#ABA - Hp Prodisplay P221 21.5-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","1.9"" (47.5 mm)","6.3"" (160 mm)",Yes,Security Lock,"ENERGY STAR, EPEAT Gold, TCO Certified Displays",Yes,Yes,"12.4"" (315 mm)","14.9"" (379 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9E49A8#ABA,http://www.hp.com/ca,1920 x 1080,1.0,28 W,ProDisplay P221 21.5-inch LED Backlit MonitorVGA CableDVI CableAC Power CablePrinted DocumentationCD,does not accept phone orders.,Essential,P221,ProDisplay P221 21.5-inch LED Backlit Monitor,LCD Monitor,5 ms,Full HD,"21.5""",Anti-glare,No,500 mW,160Â°,Yes,3.99 kg,"20.4"" (517.9 mm)","20.4"" (517.9 mm)",,,,,,,,,,,Yes,100 x 100,,,,,,,,,,,,,,,,,
22M45D-B - Lg 22m45d-b Widescreen Lcd Monitor - PC-Canada.com,,16:9,LED,LG,250 cd/mÂ²,,Black,"5,000,000:1","2.4"" (60 mm)","7.4"" (188 mm)",Yes,"Reading Mode, Cable Management, Flicker-free, Dual-screen Display, Super Energy Saving",,,Yes,"12.4"" (316 mm)","16.5"" (418 mm)",170Â°,,,LG Electronics,22M45D-B,http://www.lg.com/ca,1920 x 1080,1.0,21 W,,does not accept phone orders.,,22M45D-B,22M45D-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"21.5""",,,300 mW,160Â°,Yes,2.20 kg,"20"" (509 mm)","20"" (509 mm)",16.7 Million Colors,,,,Wall Mountable,,Twisted Nematic Film (TN Film),,M45,,Yes,,,,,,2.60 kg,,,,,,,,,,,,
PA248Q - Asus Proart Pa248q Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Asus,300 cd/mÂ²,USB Hub,Black,"80,000,000:1","9.3"" (235 mm)",,Yes,"Splendid Video Intelligence Technology, Picture in Picture, Security Lock","TCO Certified Displays 5.2, ENERGY STAR, ErP, J-Moss (Japanese RoHS), RoHS",Yes,Yes,"16.4"" (416.3 mm)",,178Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,PA248Q,http://www.asus.com,1920 x 1200,1.0,75 W,ProArt PA248Q Widescreen LCD MonitorCable TieDVI CableVGA CablePower CordDisplayPort CableUSB 3.0 CableQuick Start GuideSupport CDWarranty CardColor Pre-calibration Report,does not accept phone orders.,ProArt,PA248Q,ProArt PA248Q Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"24""",,,1 W,178Â°,Yes,,"21.9"" (557.3 mm)",,16.7 Million Colors,,Yes,Yes,Wall Mountable,,In-plane Switching (IPS) Technology,"PC, Mac",PA,,Yes,100 x 100,Yes,Yes,,76 Hz,,UL/cULCBCEFCCCCCTUV-GSTUV-ERGOISO9241-307BSMIGost-RC-TickVCCIPSBNOMWHQL,,,,Yes,USB 3.0,,Yes,,,,
"AS172-BK - Nec Display 17"" Value Desktop Monitor With Led Backlighting - PC-Canada.com",Yes,5:4,LED,NEC Display,250 cd/mÂ²,,Black,"1,000:1","2.7"" (68.6 mm)","8.1"" (205.7 mm)",Yes,"Intelligent Power Manager (IPM) System, Sync on Green, AccuColor, Display Power Management Signaling (DPMS), Eco Mode, Carbon Footprint Meter","ENERGY STAR 6.0, EPEAT Silver, TCO Certified Displays 6.0, RoHS",Yes,Yes,"12.2"" (309.9 mm)","14.7"" (373.4 mm)",170Â°,,3 Year,NEC Display Solutions,AS172-BK,http://www.necdisplay.com,1280 x 1024,1.0,11 W,"17"" Value Desktop Monitor with LED Backlighting Setup Sheet User Manual Power Cord 15-pin D-sub cable",does not accept phone orders.,AccuSync,AS172-BK,"17"" Value Desktop Monitor with LED Backlighting",LCD Monitor,5 ms,SXGA,"17""",,,150 mW,170Â°,Yes,2.90 kg,"14.7"" (373.4 mm)","14.7"" (373.4 mm)",,,,,Desk Mountable,,Twisted Nematic Film (TN Film),,,,Yes,100 x 100,,,,76 Hz,3.30 kg,ISO 9241-307 Class I,,,,,,,,,,,
VG932M-LED - Viewsonic Vg932m-led Lcd Monitor - PC-Canada.com,Yes,4:3,LED,Viewsonic,250 cd/mÂ²,Speaker,,"1,000:1","2.5"" (63.5 mm)","9.1"" (231.1 mm)",Yes,"Eco Mode, Security Lock","WEEE, RoHS, ENERGY STAR, TCO Certified Displays 6.0, EPEAT Silver, CECP, China Energy Label (CEL)",Yes,,"14"" (355.6 mm)","18.8"" (477.5 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Viewsonic Corporation,VG932M-LED,http://www.viewsonic.com,1280 x 1024,1.0,18 W,VG932m-LED LCD MonitorPower CableVGA CableAudio CableQuick Start GuideWizard CD-ROM,does not accept phone orders.,,VG932m-LED,VG932m-LED LCD Monitor,LCD Monitor,5 ms,SXGA,"19""",Anti-glare,Yes,,160Â°,Yes,3.20 kg,"16.2"" (411.5 mm)","16.2"" (411.5 mm)",,,,,,2.0,,"PC, Mac",,,Yes,100 x 100,Yes,,,75 Hz,4.20 kg,CECBULcULFCC-B / ICES-003BC-TICKBSMIGOST-RHYGENICPSBCCCCELCEPC,,,,,,,,,,,
29UM65-P - Lg 29um65-p Widescreen Lcd Monitor - PC-Canada.com,,21:9,LED,LG,,,,,,,Yes,,,,,,,,,,LG Electronics,29UM65-P,http://www.lg.com/ca,2560 x 1080,1.0,,,does not accept phone orders.,,29UM65-P,29UM65-P Widescreen LCD Monitor,LCD Monitor,,UW-UXGA,"29""",,,,,,,,,,,,Yes,,,In-plane Switching (IPS) Technology,,,,,,,,,,,,,,,,,,,,,,
UM.EV6AA.002 - Acer V226wl Widescreen Lcd Monitor - PC-Canada.com,,16:10,LED,Acer,250 cd/mÂ²,,Black,"100,000,000:1","8.1"" (207 mm)",,Yes,,TCO '06,Yes,Yes,"16.5"" (419.1 mm)",,170Â°,"110 V AC, 220 V AC",,"Acer, Inc",UM.EV6AA.002,http://www.acer.ca,1680 x 1050,1.0,24.20 W,V226WL Widescreen LCD Monitor1 x DVI Cable1 x VGA CablePower Cord,does not accept phone orders.,,V226WL,V226WL Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"22""",Anti-glare,,450 mW,160Â°,Yes,3.09 kg,"19.9"" (505.8 mm)",,16.7 Million Colors,,,,,,,,V,,,,,,350 mW,60 Hz,3.52 kg,,,,,,,,,,,,
"PA242W-BK - Nec Display 24"" Professional Wide Gamut Graphics Desktop Monitor - PC-Canada.com",Yes,16:10,LED,NEC Display,340 cd/mÂ²,USB Hub,Black,"1,000:1","3.3"" (83.8 mm)","9"" (228.6 mm)",Yes,"Sync on Green, Cable Management, AmbiBright, CableComp","RoHS, ENERGY STAR",Yes,Yes,"14.3"" (363.2 mm)","20.8"" (528.3 mm)",178Â°,,4 Year,NEC Display Solutions,PA242W-BK,http://www.necdisplay.com,1920 x 1200,1.0,56 W,"24"" Professional Wide Gamut Graphics Desktop Monitor Power cord DisplayPort cable Mini DisplayPort cable DVI-D cable USB A to B cable",does not accept phone orders.,,PA242W-BK,"24"" Professional Wide Gamut Graphics Desktop Monitor",LCD Monitor,8 ms,WUXGA,"24.1""",,,200 mW,178Â°,,7.39 kg,"21.9"" (556.3 mm)","21.9"" (556.3 mm)",1.07 Billion Colors,,Yes,Yes,Desk Mountable,,Advanced High Performance In-plane Switching (AH-IPS) Technology,,,,Yes,100 x 100,Yes,Yes,,85 Hz,10.61 kg,,,,,Yes,,,,,,,
C9E54AA#ABA - Hp Prodisplay P191 18.5-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,,Black,"1,000:1","1.9"" (47.5 mm)","5.6"" (142.7 mm)",,Security Lock,"ENERGY STAR, TCO Certified Displays, EPEAT Gold",Yes,,"10.9"" (275.8 mm)","13.4"" (341.1 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9E54AA#ABA,http://www.hp.com/ca,1366 x 768,1.0,20 W,ProDisplay P191 18.5-inch LED Backlit MonitorVGA CableAC Power CablePrinted Documentation and CD,does not accept phone orders.,Business,P191,ProDisplay P191 18.5-inch LED Backlit Monitor,LCD Monitor,5 ms,WXGA,"18.5""",Anti-glare,Yes,500 mW,160Â°,Yes,3.20 kg,"17.7"" (449.3 mm)","17.7"" (449.3 mm)",,,,,,,,,,,Yes,100 x 100,,,,,,,,,,Yes,,,,,,,
20M35D-B - Lg 20m35d-b Lcd Monitor - PC-Canada.com,Yes,,LED,LG,,,,"5,000,000:1",,,Yes,,,,,,,,,,LG Electronics,20M35D-B,http://www.lg.com/ca,1600 x 900,1.0,,,does not accept phone orders.,,20M35D-B,20M35D-B LCD Monitor,LCD Monitor,5 ms,HD+,"19.5""",,,,,Yes,,,,16.7 Million Colors,,,,,,Twisted Nematic Film (TN Film),,,,,,,,,,,,,,,,,,,,,,
VW22AT-CSM - Asus Vw22at-csm Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Asus,250 cd/mÂ²,Speaker,Black,"50,000,000:1","2.5"" (63.3 mm)","8.3"" (210.3 mm)",Yes,"Splendid Video Intelligence Technology, Security Lock, SmartContrast","ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 5.2, WEEE, ENERGY STAR",Yes,Yes,"13.4"" (340.8 mm)","16"" (406.2 mm)",170Â°,"220 V AC, 110 V AC",3 Year,ASUS Computer International,VW22AT-CSM,http://www.asus.com,1680 x 1050,1.0,33 W,VW22AT-CSM Widescreen LCD Monitor DVI cable VGA cable Audio cable Power cord Quick start guide Warranty Card,does not accept phone orders.,,VW22AT-CSM,VW22AT-CSM Widescreen LCD Monitor,LCD Monitor,5 ms,WSXGA+,"22""",,Yes,500 mW,160Â°,Yes,3.90 kg,"20.2"" (514 mm)","20.2"" (514 mm)",16.7 Million Colors,,,,Wall Mountable,2.0,,PC,,,Yes,100 x 100,,,300 mW,76 Hz,,BSMI CB CCC CE C-Tick FCC Gost-R TUV-Ergo TUV-GS UL/cUL VCCI WHQL,,,,,,,,,,,
"C4D30AA#ABA - Hp Pavilion 22xi 54.6 Cm (21.5"") Diagonal Ips Led Backlit Monitor - PC-Canada.com",Yes,16:9,LED,HP,250 cd/mÂ²,,,"1,000:1","6.7"" (170 mm)",,Yes,Security Lock,"REACH, ENERGY STAR 5.2, ErP, CECP",Yes,Yes,"15.1"" (383 mm)",,178Â°,,,Hewlett-Packard,C4D30AA#ABA,http://www.hp.com/ca,1920 x 1080,1.0,28 W,,does not accept phone orders.,Pavilion,22xi,"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor",LCD Monitor,7 ms,Full HD,"21.5""",Anti-glare,,500 mW,178Â°,Yes,3 kg,"19.6"" (497 mm)",,,,,Yes,,,In-plane Switching (IPS) Technology,,,,,,,,,60 Hz,,CBCEFCC MarkingCSA/C-UL/C-ETL MarkUL/CSA-NTRL/ETL-NRTL MarkICESCCCBauartISO9241-307GOST 25861HRN N N0.201GOST R 50377-1992GOST 25861EEI CertificateIS 1121SASOSABS IEC 60950-1NOM-019-SCFI-1998KC MarkKCC MarkPSB MarkISC MarkC-Tick,,,,,,,,,,,
e2752Vh - Aoc E2752vh 27 Inch Led Monitor - PC-Canada.com,Yes,16:9,LED,AOC,300 cd/mÂ²,Speaker,Black,"20,000,000:1",,"8.3"" (210 mm)",Yes,Off Timer,ENERGY STAR,Yes,Yes,,"17.8"" (452 mm)",170Â°,,1 Year,AOC,E2752VH,http://us.aoc.com,1920 x 1080,1.0,40 W,,does not accept phone orders.,ENTERTAINING,e2752Vh,e2752Vh 27 Inch LED Monitor,LCD Monitor,5 ms,Full HD,"27""",,Yes,600 mW,160Â°,Yes,5.29 kg,,"25.4"" (645.7 mm)",16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,52,,Yes,100 x 100,,,,,,,,,,,,,,,,,
C9V75A8#ABA - Hp Promo Elitedisplay E231 23-inch Led Backlit Monitor - PC-Canada.com,Yes,16:9,LED,HP,250 cd/mÂ²,USB Hub,Black,"1,000:1","2"" (51 mm)","9.5"" (242.4 mm)",Yes,Security Lock,"ENERGY STAR, TCO Certified Edge, EPA, EPEAT Gold",Yes,Yes,"13"" (329 mm)","18.5"" (469.9 mm)",170Â°,"110 V AC, 220 V AC",3 Year,Hewlett-Packard,C9V75A8#ABA,http://www.hp.com/ca,1920 x 1080,1.0,36 W,Promo EliteDisplay E231 23-Inch LED Backlit MonitorVGA CableDisplayPort CableUSB CableAC Power Cable,does not accept phone orders.,Advantage,E231,Promo EliteDisplay E231 23-Inch LED Backlit Monitor,LCD Monitor,5 ms,Full HD,"23""",Anti-glare,No,500 mW,160Â°,Yes,3.90 kg,"21.4"" (544 mm)","21.4"" (544 mm)",16.7 Million Colors,China,Yes,,,,,,,,Yes,100 x 100,Yes,Yes,500 mW,60 Hz,,CECBKCKCCNOMPSBICETUV-SCCCCECPSEPAISCVCCIFCCHSMI,Portrait,,,Yes,USB 2.0,,,,,,
VN279Q - Asus Vn279q Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,300 cd/mÂ²,Speaker,Black,"100,000,000:1","7.4"" (188 mm)",,,"Mobile High-Definition Link (MHL), MultiScreen, Splendid Video Intelligence Technology, Security Lock","ENERGY STAR, China Energy Label (CEL), ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE",Yes,Yes,"21.1"" (535.9 mm)",,178Â°,,3 Year,ASUS Computer International,VN279Q,http://www.asus.com,1920 x 1080,1.0,35 W,VN279Q Widescreen LCD Monitor VGA cable Audio cable Power cord Quick start guide Warranty Card,does not accept phone orders.,,VN279Q,VN279Q Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"27""",,Yes,500 mW,178Â°,Yes,,"27.8"" (706.1 mm)",,16.7 Million Colors,,Yes,Yes,Wall Mountable,2.0,Advanced-Multi-domain Vertical Alignment (A-MVA),PC,VN,,Yes,100 x 100,,,300 mW,75 Hz,,EAC logo BSMI CB CCC CE C-Tick CU FCC ISO-9241-307 PSE TUV-GS UkrSEPRO UL/cUL VCCI WHQL,,,,,,,Yes,,,,
2572MB1 - Lenovo Thinkvision Lt2252p 22-inch Led Backlit Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Lenovo,250 cd/mÂ²,,,"1,000:1","9.5"" (241.1 mm)",,Yes,Security Lock,"EPA, CECP, RoHS, MPR II, ULE Gold, EPEAT Gold, China RoHS, ENERGY STAR 6.0, TCO Certified Edge Displays 1.1",Yes,Yes,"14.5"" (367.1 mm)",,170Â°,,,Lenovo Group Limited,2572MB1,http://www.lenovo.com/ca/en,1680 x 1050,1.0,26 W,,does not accept phone orders.,ThinkVision,LT2252p,ThinkVision LT2252p 22-inch LED Backlit LCD Monitor,LCD Monitor,5 ms,WSXGA+,"22""",,,500 mW,160Â°,Yes,5.14 kg,"19.9"" (506 mm)",,,,Yes,,,,,PC,,,Yes,100 x 100,Yes,Yes,,,,ULICCEGSKCCSACCCTUVPSBCSCVCCISASOJEITATUV-SGOSTBSMISEMKONEMKOAS/NZAKVALITETFCC Class BISO 9241-307EPA China Tier 1China Energy Efficiency Standard Tier 1IECEE CB Certificate (world-wide - IEC-950/EN 60950),,,,,,,,,,,
VE278H - Asus Ve278h Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,300 cd/mÂ²,,Black,"1,200:1","2.3"" (59.5 mm)",,,"Security Lock, Splendid Video Intelligence Technology","WEEE, RoHS, J-Moss (Japanese RoHS), ErP, ENERGY STAR",Yes,Yes,"15.2"" (385.6 mm)",,170Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,VE278H,http://www.asus.com,1920 x 1080,1.0,45 W,VE278H Widescreen LCD MonitorVGA CablePower CordAudio CableQuick Start GuideHDMI-to-DVI CableWarranty Card,does not accept phone orders.,,VE278H,VE278H Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"27""",,Yes,500 mW,160Â°,Yes,6 kg,"25.3"" (643 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,2.0,,PC,VE,,Yes,100 x 100,,,500 mW,75 Hz,,CBUL/cULCEFCCCCCBSMIGost-RC-TickVCCIPSBEKWHQL,,,,,,,Yes,,,,
VS238H-P - Asus Vs238h-p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,Asus,250 cd/mÂ²,,Black,"50,000,000:1","7.9"" (200 mm)",,,,"ENERGY STAR, WEEE, RoHS",Yes,Yes,"15.8"" (400.3 mm)",,170Â°,,3 Year,ASUS Computer International,VS238H-P,http://www.asus.com,1920 x 1080,1.0,27 W,VS238H-P Widescreen LCD MonitorVGA CableDVI CablePower CordWarranty CardQuick Start Guide,does not accept phone orders.,,VS238H-P,VS238H-P Widescreen LCD Monitor,LCD Monitor,2 ms,Full HD,"23""",,,500 mW,160Â°,Yes,3.40 kg,"21.7"" (552 mm)",,16.7 Million Colors,,,Yes,Wall Mountable,,,PC,VS,,Yes,100 x 100,,,500 mW,75 Hz,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL,,,,,,,,,,,
VS198D-P - Asus Vs198d-p Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Asus,250 cd/mÂ²,,Black,"50,000,000:1","7.3"" (184.9 mm)",,No,,"EPEAT Gold, ENERGY STAR, WEEE, RoHS",Yes,No,"14.5"" (368 mm)",,170Â°,,,ASUS Computer International,VS198D-P,http://www.asus.com,1440 x 900,1.0,25 W,VS198D-P Widescreen LCD MonitorVGA CablePower CordQuick Start GuideWarranty Card,does not accept phone orders.,,VS198D-P,VS198D-P Widescreen LCD Monitor,LCD Monitor,5 ms,WXGA+,"19""",,No,500 mW,160Â°,Yes,2.70 kg,"17.6"" (446 mm)",,16.7 Million Colors,,No,No,Wall Mountable,,,PC,VS,,Yes,75 x 75,Yes,,500 mW,75 Hz,,UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL,,,,,,,,,,,
24M35D-B - Lg 24m35d-b Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,LG,200 cd/mÂ²,,Black,"5,000,000:1","3.9"" (98 mm)","8.5"" (215 mm)",Yes,"Reading Mode, Super Energy Saving, Flicker-free, Cable Management, Dual Monitor Support, Dual Web, Intelligent Auto, Key Lock, Dual-screen Display",,,Yes,"12.4"" (314 mm)","17.2"" (438 mm)",170Â°,,,LG Electronics,24M35D-B,http://www.lg.com/ca,1920 x 1080,1.0,19 W,,does not accept phone orders.,,24M35D-B,24M35D-B Widescreen LCD Monitor,LCD Monitor,5 ms,Full HD,"24""","Anti-glare, Anti-reflective",,300 mW,160Â°,Yes,2.70 kg,"21.9"" (556 mm)","21.9"" (556 mm)",16.7 Million Colors,,,,,,Twisted Nematic Film (TN Film),PC,3,3Â°to20Â°,Yes,100 x 100,,,300 mW,,3 kg,,,,,,,,,,,,
PA249Q - Asus Pa249q Widescreen Lcd Monitor - PC-Canada.com,Yes,16:10,LED,Asus,350 cd/mÂ²,USB Hub,Black,"80,000,000:1","2.4"" (62 mm)","9.3"" (235 mm)",Yes,"Splendid Video Intelligence Technology, Picture in Picture, Picture by Picture, Security Lock","ENERGY STAR, WEEE, China Energy Label (CEL), EPEAT Gold, ErP, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0",Yes,Yes,"14.3"" (362.8 mm)","16.4"" (416.3 mm)",178Â°,"110 V AC, 220 V AC",3 Year,ASUS Computer International,PA249Q,http://www.asus.com,1920 x 1200,1.0,72 W,PA249Q Widescreen LCD Monitor Cable Tie DVI Cable VGA Cable Power Cord DisplayPort Cable USB 3.0 Cable Quick Start Guide Support CD Warranty Card Color Pre-calibration Report,does not accept phone orders.,,PA249Q,PA249Q Widescreen LCD Monitor,LCD Monitor,6 ms,WUXGA,"24""",,,1 W,178Â°,Yes,6.60 kg,"21.9"" (557.2 mm)","21.9"" (557.2 mm)",1073.7 Million Colors (10-bit),,Yes,Yes,Wall Mountable,,Advanced High Performance In-plane Switching (AH-IPS) Technology,"PC, Mac",PA,,Yes,100 x 100,Yes,Yes,,76 Hz,,BSMI CB CCC CE C-Tick FCC Gost-R ISO-9241-307 PSE TUV-Ergo TUV-GS UL/cUL VCCI WHQL NOM,,,,Yes,USB 3.0,,Yes,,,,
D7P94A4#ABA - Hp Business Performance Z30i Widescreen Lcd Monitor - PC-Canada.com,,,LED,,350 cd/mÂ²,,,"1,000:1","2.6"" (66.3 mm)","10.5"" (266.4 mm)",,,TCO Certified Edge,,,"17.7"" (449.8 mm)","23.7"" (601 mm)",,,,,D7P94A4#ABA,,2560 x 1600,,,Business Performance Z30i Widescreen LCD Monitor AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software,does not accept phone orders.,Business,Z30i,Business Performance Z30i Widescreen LCD Monitor,,,WQXGA,,,,,,,,"27.2"" (690.3 mm)","27.2"" (690.3 mm)",,,,,,,,,Performance,,,,,,,,9.96 kg,,,,,,,,,,,,
997-6329-00LF - Planar Lc1503r Open-frame Lcd Monitor - PC-Canada.com,,,LED,Planar,1600 cd/mÂ²,,,600:1,"1.2"" (31 mm)",,,,RoHS,Yes,,"10"" (253 mm)",,160Â°,,1 Year,"Planar Systems, Inc",997-6329-00LF,http://www.planar.com,1024 x 768,1.0,20 W,,does not accept phone orders.,,LC1503R,LC1503R Open-frame LCD Monitor,Open-frame LCD Monitor,8 ms,XGA,"15""",,,,160Â°,Yes,1 kg,"12.9"" (327 mm)",,,,,,,,,,LC15,,Yes,75 x 75,,,,,,FCCCETUV,,,,,,,,,,,
24MB35PU-B - Lg 24mb35pu-b Widescreen Lcd Monitor - PC-Canada.com,Yes,16:9,LED,LG,,Speaker,,,"2.5"" (63 mm)","10.7"" (271 mm)",Yes,,ENERGY STAR,Yes,,"13.5"" (342 mm)","17"" (432 mm)",,"110 V AC, 220 V AC",,LG Electronics,24MB35PU-B,http://www.lg.com/ca,1920 x 1080,1.0,23 W,,does not accept phone orders.,,24MB35PU-B,24MB35PU-B Widescreen LCD Monitor,LCD Monitor,,Full HD,"23.8""",Anti-glare,Yes,300 mW,,Yes,5.10 kg,"22.4"" (569 mm)","22.4"" (569 mm)",,,,,Wall Mountable,2.0,In-plane Switching (IPS) Technology,,,-5Â°to20Â°,Yes,100 x 100,,Yes,300 mW,60 Hz,,TAA,,,,,,,,,,,
