<page title>,battery,dimensions wxdxh,display,dockable,environmental standards,graphics,memory,networking,operating system,optical drive,processor,product description,product type,security,storage,weight,category,chipset,dimensions wd,hard drive,height,price as reviewed starting price,screen size diagonal,system weight weight with ac adapter,wireless broadband wwan,colour,localisation,manufacturer warranty,mechanical design,microsoft office preloaded,keyboard,camera,hdd,model,os,warranty,wireless,system type,included service,color,cpu,lan,graphic card,hard disk,ram memory,dimensions
"Other Laptops & Notebooks - Dell Latitude 3540 BTX | CA011L35406EM was listed for R13,186.80 on 4 Nov at 00:44 by FirstShop in Johannesburg (ID:158885537)",6-cell,37.6 cm x 25.9 cm x 3.13 cm,15.6 '' WLED 1920 x 1080 / Full HD,,ENERGY STAR Qualified,AMD Radeon HD 8850M - 2 GB GDDR5,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 Pro 64-bit,DVD-Writer,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,Dell Latitude 3540 BTX - 15.6 '' - Core i5 4210U - Windows 8.1 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.35 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,Dell Channel 38M Basic Next Business Day Warranty,,,,,,,
"Other Laptops & Notebooks - Acer Aspire S7-392-74508G25tws - 13.3"" | NX.MBKEA.007 for sale in Johannesburg (ID:158733964)",4-cell - up to 7 hours,32.3 cm x 22.3 cm x 1.29 cm,13.3 '' LED backlight touchscreen 2560 x 1440 / WQHD,,,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8.1 Single Language 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer Aspire S7-392-74508G25tws - 13.3 '' - Core i7 4500U - Windows 8.1 Single Language 64-bit - 8 GB RAM - 256 GB SSD,Ultrabook,,256 GB SSD,1.3 kg,,,,,,,,,,"White , silver",South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer TravelMate - 15.6"" - 4 | NX.V8WEA.022 for sale in Johannesburg (ID:158050433)",4-cell - up to 4 hours,38.16 cm x 25.6 cm x 2.53 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer TravelMate P255-M-74504G1TMnkk - 15.6 '' - Core i7 4500U - Windows 7 Pro 64-bit - 4 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.35 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP EliteBook 8570p - 15.6"" | C3D21ES for sale in Johannesburg (ID:137915100)",6-cell,37.4 cm x 25.1 cm x 3.4 cm,15.6 '' LED backlight 1600 x 900 / HD+,Yes,,AMD Radeon HD 7570M - 1 GB GDDR5,4 GB DDR3,"802.11n , Bluetooth 4.0 EDR , Gigabit Ethernet , wireless cellular modem",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 3rd Gen ) 3540M / 3 GHz ( 3.7 GHz ) / 4 MB Cache,HP EliteBook 8570p - 15.6 '' - Core i7 3540M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,2.71 kg,,,,,,,,,3G,Platinum,,,,,,,,,,,,,,,,,,,,
"ASUS - Asus - N750JV-T4224P high end gaming Notebook was listed for R19,492.86 on 1 Nov at 17:31 by PC group SA in Johannesburg (ID:162664601)","69WHrs , 6260mAh,3S2P , 6-cell Li-ion Polymer Battery Pack",,,,,,,,Win8 pro,9.5mm SATA 6X Blu-Ray ( Read + Write ),,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad X240 20AL | 20AL009YZA for sale in Johannesburg (ID:164202157),3-cell,30.55 cm x 20.85 cm x 1.99 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad X240 20AL - 12.5 '' - Core i5 4200U - Windows 8.1 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",500 GB HDD / 7200 rpm,1.31 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell - 14"" - Core i5 | CA032LE54408EDBSAF for sale in Johannesburg (ID:162342818)",9-cell,37.6 cm x 25.6 cm x 3.67 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K1100M - 2 GB GDDR5,8 GB DDR3L,"Bluetooth 4.0 , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4810MQ / 2.8 GHz ( 3.8 GHz ) / 6 MB Cache,Dell Precision Mobile Workstation M4800 - 15.6 '' - Core i7 4810MQ - Windows 7 Pro 64-bit - 8 GB RAM - 500 GB Hybrid Drive,Notebook,SmartCard reader,500 GB Hybrid Drive ( 8 GB flash ) / 5400 rpm,2.89 kg,,,,,,,,,,,,3 years warranty,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer Extensa 2510-71K0 - 15.6"" | NX.EEXEA.004 for sale in Johannesburg (ID:158733989)",6-cell,38.16 cm x 25.6 cm x 3.04 cm,15.6 '' LED backlight 1366 x 768 / HD - matt,,ENERGY STAR Qualified,Intel HD Graphics,4 GB DDR3L,"Bluetooth , 802.11n , Gigabit Ethernet",Windows 8.1 Single Language 64-bit,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,Acer Extensa 2510-71K0 - 15.6 '' - Core i7 4510U - Windows 8.1 Single Language 64-bit - 4 GB RAM - 1 TB HDD,Notebook,,1 TB HDD / 5400 rpm,2.5 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP EliteBook Folio 9470m | C3C98ES was listed for R24,958.80 on 26 Oct at 01:03 by FirstShop in Johannesburg (ID:164474473)",,33.8 cm x 23.1 cm x 1.895 cm,14 '' LED backlight 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit,No optical drive,Intel Core i7 ( 3rd Gen ) 3667U / 2 GHz ( 3.2 GHz ) / 4 MB Cache,HP EliteBook Folio 9470m - 14 '' - Core i7 3667U - Windows 7 Pro 64-bit - 4 GB RAM - 256 GB SSD,Ultrabook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD,1.61 kg,,,,,,,,,3G,Platinum,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP EliteBook Mobile Workstation | LG660EA for sale in Johannesburg (ID:137911666),8-cell,38.2 cm x 25.8 cm x 3.8 cm,15.6 '' LED backlight Full HD WVA anti-glare 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",AMD FirePro M5950 - 1 GB GDDR5,4 GB DDR3,"802.11n , Bluetooth 2.1 EDR , Gigabit Ethernet , fax / modem",Windows 7 Pro 64-bit,DVD SuperMulti DL,Intel Core i5 ( 2nd Gen ) 2540M / 2.6 GHz ( 3.3 GHz ) / 3 MB Cache,HP EliteBook Mobile Workstation 8560w - 15.6 '' - Core i5 2540M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,3.1 kg,,,,,,,,,,,,,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
"IBM, Lenovo - LENOVO THINKPAD ULTRABOOK - T430 | CORE i5 2.6GHz | 8GIG RAM | 320GB HDD | LAPTOP was listed for R4,500.00 on 21 Oct at 15:46 by TradeRouteAuctions in Johannesburg (ID:164525280)",,,,,,,,,Windows 7,,Intel Core i5 ~ 2.6Ghz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEL HD GRAPHICS 1696 MB,320GB,8 GB DDR3 1600 MHz,
"Other Laptops & Notebooks - TOSHIBA PORTEGE Z930-F848 - Toshiba was listed for R10,987.00 on 4 Nov at 01:56 by PC LINK COMPUTERS in Johannesburg (ID:157343604)",,,13.3 '' Anti-Glare LED,,,Intel,6GB DDR3,,,N/A,,,,TPM / AMT / SSD Alert,,1.12kg,,,,,,,,,,,,,,,Spill Resistant STD,,128GB mSATA SSD,Z930-F848,Win 8 Pro,3 Years,WLAN+ BT,,,Silver,i3-3217U,10/100 / 1000,,,,
Other Laptops & Notebooks - HP ZBook 17 Mobile | E9X01AW for sale in Johannesburg (ID:139317962),8-cell,41.6 cm x 27.2 cm x 3.4 cm,17.3 '' LED backlight Full HD WVA anti-glare 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K3100M - 4 GB GDDR5,4 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4330M / 2.8 GHz ( 3.5 GHz ) / 3 MB Cache,HP ZBook 17 Mobile Workstation - 17.3 '' - Core i5 4330M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,3.46 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - HP 250 G2 - 15.6"" | F0Z26EA for sale in Johannesburg (ID:147017110)",4-cell,37.84 cm x 25.92 cm x 2.81 cm,15.6 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,Intel HD Graphics 4000,4 GB DDR3L,"802.11n , Bluetooth 4.0 , 10/100 Ethernet",Windows 8.1 64-bit,DVD SuperMulti,Intel Pentium N3510 / 2 GHz / 2 MB Cache,HP 250 G2 - 15.6 '' - Pentium N3510 - Windows 8.1 64-bit - 4 GB RAM - 500 GB HDD,Notebook,,500 GB HDD / 5400 rpm,2.5 kg,,,,,,,,,,Black licorice,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ZBook 15 Mobile | E9X18AW for sale in Johannesburg (ID:137912270),8-cell,38.15 cm x 25.7 cm x 3.55 cm,15.6 '' LED backlight Full HD SVA eDP anti-glare 1920 x 1080 / Full HD,Yes,ENERGY STAR Qualified,NVIDIA Quadro K1100M - 2 GB GDDR5,4 GB DDR3L,"Bluetooth 4.0 LE , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4330M / 2.8 GHz ( 3.5 GHz ) / 3 MB Cache,HP ZBook 15 Mobile Workstation - 15.6 '' - Core i5 4330M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",500 GB HDD / 7200 rpm,2.93 kg,,,,,,,,,,"Graphite , hematite",,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Acer TravelMate P645-M-74508G25tkk - 14"" | NX.V8VEA.013 for sale in Johannesburg (ID:158734245)",3-cell - up to 8 hours,32.87 cm x 23.55 cm x 2.08 cm,14 '' LED backlight 1920 x 1080 / Full HD - matt,,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / 8.1 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Acer TravelMate P645-M-74508G25tkk - 14 '' - Core i7 4500U - Windows 7 Pro 64-bit / 8.1 Pro 64-bit - 8 GB RAM - 256 GB SSD,Notebook,"Trusted Platform Module ( TPM ) Security Chip , fingerprint reader",256 GB SSD,1.52 kg,,,,,,,,,,Black,South Africa,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 450 G2 | J4S34EA for sale in Johannesburg (ID:158734077),4-cell - up to 9 hours,37.5 cm x 26.28 cm x 2.55 cm,15.6 '' LED backlight 1366 x 768 / HD,,ENERGY STAR Qualified,AMD Radeon R5 M255 / Intel HD Graphics 4400 - 2 GB DDR3,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,HP ProBook 450 G2 - 15.6 '' - Core i7 4510U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.26 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad E540 20C6 | 20C600HHZA for sale in Johannesburg (ID:161481420),6-cell,37.7 cm x 25 cm x 2.96 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,NVIDIA GeForce 840M / Intel HD Graphics 4600 - 2 GB,8 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8.1 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4702MQ / 2.2 GHz ( 3.2 GHz ) / 6 MB Cache,Lenovo ThinkPad E540 20C6 - 15.6 '' - Core i7 4702MQ - Windows 8.1 64-bit - 8 GB RAM - 1 TB HDD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,1 TB HDD / 5400 rpm,2.46 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Samsung Series 5 Ultra | NP530U4B-S03ZA for sale in Johannesburg (ID:137911967),8-cell,33.3 cm x 22.95 cm x 2.09 cm,14 '' LED backlight 1366 x 768 / HD,,"ENERGY STAR Qualified , EPEAT Gold",AMD Radeon HD 7550M - 1 GB DDR3,4 GB DDR3,"802.11n , Bluetooth 3.0 HS , Gigabit Ethernet",Windows 7 Home Premium 64-bit,DVD SuperMulti,Intel Core i5 ( 2nd Gen ) 2467M / 1.6 GHz ( 2.3 GHz ) / 3 MB Cache,Samsung Series 5 Ultra 530U4B - 14 '' - Core i5 2467M - Windows 7 Home Premium 64-bit - 4 GB RAM - 1 TB HDD,Ultrabook,,1 TB HDD / 5400 rpm + 16 GB SSD cache,1.79 kg,,,,,,,,,,,,,,Includes a pre-loaded image of select Microsoft Office 2010 suites . Purchase an Office 2010 Product Key Card or disc to activate preloaded software on this PC .,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Helix 3698 | N3Z43ZA for sale in Johannesburg (ID:155333728),Up to 5.6 hours,29.61 cm x 22.6 cm x 2.04 cm,11.6 '' LED backlight touchscreen VibrantView 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8 Pro 64-bit,No optical drive,Intel Core i5 ( 3rd Gen ) 3337U / 1.8 GHz ( 2.7 GHz ) / 3 MB Cache,Lenovo ThinkPad Helix 3698 - 11.6 '' - Core i5 3337U - Windows 8 Pro 64-bit - 4 GB RAM - 256 GB SSD,Ultrabook,Trusted Platform Module ( TPM 1.2 ) Security Chip,256 GB SSD,1.6 kg,,,,,,,,,3G,Black,,3 years warranty,Keyboard dock,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad Helix 3698 | N3Z45ZA for sale in Johannesburg (ID:149228063),,29.61 cm x 22.6 cm x 2.04 cm,11.6 '' LED backlight touchscreen 1920 x 1080 / Full HD,,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4000,4 GB DDR3L,"802.11n , Bluetooth 4.0",Windows 8 Pro,No optical drive,Intel Core i7 ( 3rd Gen ) 3667U / 2 GHz ( 3.2 GHz ) / 4 MB Cache,Lenovo ThinkPad Helix 3698 - 11.6 '' - Core i7 3667U - Windows 8 Pro - 4 GB RAM - 256 GB SSD,Ultrabook,,256 GB SSD,1.7 kg,,,,,,,,,,Black,,3 years warranty,Keyboard dock,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Dell Latitude E6540 - 15.6"" | CA6LE65408WEREM was listed for R21,478.80 on 24 Oct at 01:06 by FirstShop in Johannesburg (ID:164202141)",9-cell,37.9 cm x 25.05 cm x 3.34 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,,AMD Radeon HD 8790M - 2 GB GDDR5,8 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 7 Pro 64-bit - Czech / Hungarian / Polish/ Slovak / English,DVD-Writer,Intel Core i7 ( 4th Gen ) 4800MQ / 2.7 GHz ( 3.7 GHz ) / 6 MB Cache,Dell Latitude E6540 - 15.6 '' - Core i7 4800MQ - Windows 7 Pro 64-bit - 8 GB RAM - 500 GB Hybrid Drive,,,500 GB Hybrid Drive / 5400 rpm + 8 GB SSD cache,2.36 kg,,,,,,,,,WWAN,,,3 years warranty,,,,,,,,,,Notebook - rugged,3 Years Dell ProSupport,,,,,,,
Other Laptops & Notebooks - HP EliteBook 820 G1 | J8Q78EA for sale in Johannesburg (ID:164395968),3-cell - up to 13.25 hours,31 cm x 21.53 cm x 2.1 cm,12.5 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,8 GB DDR3L,"Bluetooth 4.0 HS , 802.11ac , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,No optical drive,Intel Core i7 ( 4th Gen ) 4510U / 2 GHz ( 3.1 GHz ) / 4 MB Cache,HP EliteBook 820 G1 - 12.5 '' - Core i7 4510U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 8 GB RAM - 256 GB SSD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader , SmartCard reader",256 GB SSD Self Encrypting Drive,1.42 kg,,,,,,,,,4G - no service included,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad S440 20AY | 20AY001NZA for sale in Johannesburg (ID:147826865),4-cell,33.28 cm x 22.48 cm x 2.03 cm,14 '' LED backlight 1600 x 900 / HD+,,"ENERGY STAR Qualified , EPEAT Gold",AMD Radeon HD 8670M - 2 GB,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i7 ( 4th Gen ) 4500U / 1.8 GHz ( 3 GHz ) / 4 MB Cache,Lenovo ThinkPad S440 20AY - 14 '' - Core i7 4500U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,500 GB HDD / 7200 rpm,1.78 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad W540 20BG | 20BG002DZA for sale in Johannesburg (ID:159961467),9-cell - up to 11.1 hours,37.66 cm x 24.81 cm x 2.95 cm,15.6 '' LED backlight 1920 x 1080 / Full HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",,8 GB DDR3L,"Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,Lenovo ThinkPad W540 20BG - 15.6 '' - Core i7 4700MQ - Windows 8 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.7 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
"Other Laptops & Notebooks - Lenovo ThinkPad S540 Touch | 20B3000MZA was listed for R10,798.80 on 4 Nov at 00:44 by FirstShop in Johannesburg (ID:161123742)",4-cell - up to 7 hours,37.9 cm x 25.24 cm x 2.07 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,Intel HD Graphics 4400,4 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8 Pro 64-bit,No optical drive,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Lenovo ThinkPad S540 - 15.6 '' - Core i5 4200U - Windows 8 Pro 64-bit - 4 GB RAM - 500 GB HDD,Notebook,Trusted Platform Module ( TPM 1.2 ) Security Chip,500 GB HDD / 7200 rpm,2.11 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 470 G2 | G6W57EA for sale in Johannesburg (ID:161334117),6-cell,41.38 cm x 27.95 cm x 3.22 cm,17.3 '' LED backlight 1920 x 1080 / Full HD,,ENERGY STAR Qualified,AMD Radeon R5 M255 - 2 GB DDR3,8 GB DDR3L,"802.11n , Bluetooth 4.0 LE , Gigabit Ethernet",Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i5 ( 4th Gen ) 4210U / 1.7 GHz ( 2.7 GHz ) / 3 MB Cache,HP ProBook 470 G2 - 17.3 '' - Core i5 4210U - Windows 7 Pro 64-bit / Windows 8.1 Pro downgrade - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.95 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo ThinkPad T440p 20AN | 20AN0028ZA for sale in Johannesburg (ID:137914394),6-cell - up to 7.2 hours,33.5 cm x 22.91 cm x 2.995 cm,14 '' LED backlight 1600 x 900 / HD+,Yes,"ENERGY STAR Qualified , EPEAT Gold",NVIDIA GeForce GT 730M / Intel HD Graphics 4600 - 1 GB,8 GB DDR3L,"802.11n , Gigabit Ethernet",Windows 8 Pro 64-bit,,Intel Core i7 ( 4th Gen ) 4700MQ / 2.4 GHz ( 3.4 GHz ) / 6 MB Cache,Lenovo ThinkPad T440p 20AN - 14 '' - Core i7 4700MQ - Windows 8 Pro 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.16 kg,,,,,,,,,WWAN upgradable,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - TOSHIBA SATELLITE L870-F0059 - Toshiba for sale in Johannesburg (ID:157342104),,,17.3 '' HD+ LED,,,AMD 1GB,6GB DDR3,,,Super Multi DVD,,,,,,2.7kg,,,,,,,,,,,,,,,STD + Num,,750GB,L870-F0059,Win 8SL,1 Year,WLAN+ BT,,,Silver,i5-3230M 2.6GHz,10/100/1000,,,,
Other Laptops & Notebooks - Lenovo ThinkPad E540 20C6 | 20C600GGZA for sale in Johannesburg (ID:161481341),6-cell,37.7 cm x 25 cm x 2.96 cm,15.6 '' LED backlight 1366 x 768 / HD,Yes,ENERGY STAR Qualified,NVIDIA GeForce 840M / Intel HD Graphics 4600 - 2 GB,8 GB DDR3L,"802.11n , Bluetooth 4.0 , Gigabit Ethernet",Windows 8.1 64-bit,DVD-Writer,Intel Core i7 ( 4th Gen ) 4712MQ / 2.3 GHz ( 3.3 GHz ) / 6 MB Cache,Lenovo ThinkPad E540 20C6 - 15.6 '' - Core i7 4712MQ - Windows 8.1 64-bit - 8 GB RAM - 1 TB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , fingerprint reader",1 TB HDD / 5400 rpm,2.46 kg,,,,,,,,,WWAN,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - HP ProBook 640 G1 | H5G64EA for sale in Johannesburg (ID:137910185),6-cell,34 cm x 23.7 cm x 2.9 cm,14 '' LED backlight HD SVA eDP anti-glare 1366 x 768 / HD,Yes,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 7 Pro 64-bit / 8 Pro downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4000M / 2.4 GHz / 3 MB Cache,HP ProBook 640 G1 - 14 '' - Core i3 4000M - Windows 7 Pro 64-bit / 8 Pro downgrade - 4 GB RAM - 500 GB HDD,Notebook,"Trusted Platform Module ( TPM 1.2 ) Security Chip , SmartCard reader",500 GB HDD / 7200 rpm,2 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Laptops & Notebooks - Lenovo G50-70 - Core i3 | 59424761 for sale in Johannesburg (ID:161123827),,,LED backlight,,,,4 GB DDR3L,,,,Intel Core i3 ( 4th Gen ) / 3 MB Cache,Lenovo G50-70 - Core i3 - 4 GB RAM - 500 GB HDD,,,500 GB HDD,,,,,,,,,,,,,,,,,,,,,,,Notebook,,,,,,,,
"Other Laptops & Notebooks - HP ProBook 450 G1 | E9Y49EA was listed for R7,399.00 on 24 Oct at 01:06 by FirstShop in Johannesburg (ID:152805172)",6-cell - up to 9.25 hours,37.5 cm x 25.6 cm x 2.9 cm,15.6 '' LED backlight HD anti-glare 1366 x 768 / HD,,"ENERGY STAR Qualified , EPEAT Gold",Intel HD Graphics 4600,4 GB DDR3L,"802.11n , Bluetooth 4.0 HS , Gigabit Ethernet",Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - pre-installed : Windows 7,DVD SuperMulti,Intel Core i3 ( 4th Gen ) 4000M / 2.4 GHz / 3 MB Cache,HP ProBook 450 G1 - 15.6 '' - Core i3 4000M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD,Notebook,Fingerprint reader,500 GB HDD / 5400 rpm,2.37 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
